Payment type,Date,Time,Store name,Payment context,Device name,Device ID,Status,Sales
PAYMENT,2026-09-17,17:14:38,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,7
PAYMENT,2026-09-17,16:49:35,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,44.5
PAYMENT,2026-09-17,16:36:12,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,30.9
PAYMENT,2026-09-17,15:45:35,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,6.95
PAYMENT,2026-09-17,15:43:02,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,3.55
PAYMENT,2026-09-17,15:41:30,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,9.35
PAYMENT,2026-09-17,15:41:19,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,12.1
PAYMENT,2026-09-17,15:35:54,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,11.3
PAYMENT,2026-09-17,15:35:36,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,20.05
PAYMENT,2026-09-17,15:34:21,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,8
PAYMENT,2026-09-17,15:31:55,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,11.35
PAYMENT,2026-09-17,15:30:41,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,8.2
PAYMENT,2026-09-17,15:29:56,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,23.2
PAYMENT,2026-09-17,15:22:25,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,4.6
PAYMENT,2026-09-17,15:22:20,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,15.2
PAYMENT,2026-09-17,15:20:55,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,13.1
PAYMENT,2026-09-17,15:14:11,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,12.05
PAYMENT,2026-09-17,15:08:11,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,13.1
PAYMENT,2026-09-17,15:05:59,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,12.75
PAYMENT,2026-09-17,15:02:46,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,FAILED,11.9
PAYMENT,2026-09-17,15:02:26,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,14.35
PAYMENT,2026-09-17,14:59:38,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,22.7
PAYMENT,2026-09-17,14:55:52,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,17.35
PAYMENT,2026-09-17,14:47:55,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,6.3
PAYMENT,2026-09-17,14:46:32,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,8.25
PAYMENT,2026-09-17,14:39:04,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,14.8
PAYMENT,2026-09-17,14:38:54,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,8.8
PAYMENT,2026-09-17,14:30:41,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,5.95
PAYMENT,2026-09-17,13:56:33,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,34.65
PAYMENT,2026-09-17,13:54:40,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,37.05
PAYMENT,2026-09-17,13:08:02,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,1.45
PAYMENT,2026-09-17,12:51:16,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,22.05
PAYMENT,2026-09-17,12:01:58,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,7.5
